Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Organic Milk Chocolate,Green & Black's,561.0,9.8,36.0,46.0,0.22,48.0,7622210580092,"cane sugar #, whole milk powder #, cocoa mass #, cocoa butter #, emulsifier (soya lecithins #), vanilla extract #, # ,certified organic, may contain nuts, organic milk chocolate: minimum cocoa solids 37 %, minimum milk solids 24 %,",N/A
Tonik,Bimo,503.0,4.8,23.0,39.0,0.1,70.0,6111031003756,"Farine de blé, Sucre, Huile végétale hydrogénée (plame), Cacao maigre en poudre, Émulsifiant d Soja' cactoserum en poudre. Poudre à lever (Bicarbonate de sodium), Arôme artificel (vanille), sel. CONTIENT: BLE, GLUTEN, SOJA, LAIT",N/A
Tartines céréales 450g,La Boulangère,298.0,10.0,10.0,2.9,1.1,39.0,3760049796384,"Farine de BLÉ *50 %, eau, huile de colza, graines de tournesol décortiquées 4,6 %, graines de millet décortiquées 1,8 %, graines de lin brun 1,8%, semoule de BLÉ dur 1,6 %, levains de BLÉ dévitalisés, sel, arôme naturel (contient alcool), graines de pavot bleu 0,7 %, flocons d'AVOINE 0,7 %, levure, vinaigre, graines de quinoa 0,4 %, graines d'amarante 0,4%, conservateur : propionate de calcium, levure désactivée, farine de BLÉ d'épeautre 0,3 %, GLUTEN DE BLÉ , farine de SEIGLE 0,2%, farine d'ORGE maltée torréfiée 0,1%, farine de BLÉ malté torréfié 0,1%, antioxydant : acide ascorbique. Traces éventuelles d'œufs, soja, lait, moutarde et graines de sésame. * Ingrédient issu du commerce équitable français.",N/A
"Gerblé - Sugar Free Coconut Cookie, 132g (4.7oz)",Gerblé,427.2,6.2,15.0,0.0,0.2,72.0,3175681116832,"Farine de blé 58,1%, édulcorant: maltitols d'origine végétale, huile de colza, amidon de blé, fibre de blé, arômes naturels, émulsifiant : lecithines, poudres à lever (acide citrique, carbonates d'ammonium), sel de mer.",N/A
Ferrero Rocher,Ferrero,603.0,8.2,42.7,39.9,0.153,44.4,8000500273296,"milk chocolate (sugar, cocoa butter, skimmed milk powder, butter consented, emulsifier: lecithin [soy], vanillin), hazelnuts, sugar, palm oil, wheat flour, whey powder, lean cocoa, emulsifiers: lecithins [soy],baking powder: sodium acid carbonate, salt, vanillin,",N/A
,Bimo,508.0,5.2,24.0,20.0,0.45,67.0,6111031005095,"Farine de Blé, Sucre, Huiles Végétales Non-Hydrogénées (Palme), Sirop de Glucose, Cacao Maigre en Poudre, Amidon de Maïs, Poudres à Lever (Bicarbonate de Sodium, Bicarbonate D'ammonium), Emulsifiant (Lécithine de Soja), Sel, Arôme Artificiel (Vanilline).",N/A
Blueberry Muffin,nākd,374.0,6.57,11.1,48.6,0.0286,57.1,5060088705940,"dates 58%, cashews 15%, raisins 15%, almonds 10%, blueberries 2%, natural flavouring",N/A
Benco Original,Benco,180.0,2.29,1.1,37.1,0.105,38.1,3034470003107,"Sucre, cocoo fortement dégraissé 21,4%, sel, arôme, vitamine B1",N/A
Apple & Raisin Oat Bars,deliciously ella,426.0,5.6,17.4,29.0,0.28,59.2,5060482840179,"Gluten Free Oats (44%), Rice Syrup, Coconut Oil, Raisins (8%), Coconut Sugar, Rapeseed Oil, Dried Apple Pieces (5%), Cinnamon (Cassia).",N/A
Nutri+ avoine complet,Bjorg,442.0,9.1,15.0,16.0,0.35,64.0,3229820794532,"Flocons d'avoine* 40% , Farine de blé* , Sucre de canne* non raffiné ,Huile de colza* , Billettes de riz* soufflé (farine de riz*, sel) , Fibres d'acacia*, Miel* , Poudre à lever: carbonates d'ammonium, Jaune d'œuf* en poudre ,Sel marin ,Antioxydant: extraits de romarin* Peut contenir des traces de lait, de fruits à coque, de graines de sésame et de soja. *Ingrédients biologiques.",N/A
