Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Dark Rye Crispbread,Ryvita,352.0,10.5,1.14,2.86,0.705,67.6,5010265002911,"wholegrain rye flour, salt",N/A
Family Pack,Weetabix,362.0,12.0,2.0,4.2,0.28,69.0,5010029000801,"Wholegrain _Wheat_ (95%), Malted _Barley_ Extract, Sugar, Salt, Niacin, Iron, Riboflavin (B2), Thiamin (B1), Folic Acid.",N/A
Zarte Haferflocken,Crownfield,372.0,13.5,7.0,0.75,0.025,58.8,20003166,"Hafervollkornflocken Kleinblatt Zutaten: 100 % Hafervollkornflocken, Kann Spuren von Weizen, Roggen und Gerste enthalten, Vielseitig verwendbar: z, B, für Müslis und zum Backen, Vor Wärme schützen und trocken lagern, Aufbewahrung möglichst im geschlossenen Behälter, Ungeöffnet mindestens haltbar bis: siehe Verpackungsoberseite, Avena Cerealien GmbH Mühlenstr, 1c P-19357 Karstädt 500 ge",N/A
Flocons d'avoine,Bjorg,362.0,11.0,7.1,1.7,0.02,58.0,3229820019307,Flocons d'_avoine_ complète issue de l'agriculture biologique.,N/A
Croustillant Chocolat,Bjorg,433.0,9.8,14.0,14.0,0.28,62.0,3229820160672,"Flocons d'avoine complète, Flocons de blé complet, Chocolat noir 8% (pâte de cacao, sucre de canne non raffiné, beurre de cacao), Riz extrudé (farine de riz), Sucre de canne non raffiné, Farine de blé, Huile de tournesol, Miel, Stabilisant: gomme d'acacia, Mélasses, Flocons de noix de coco, Sel marin, Cannelle, Antioxydant: extrait riche en tocophérols.",N/A
Pain De Mie Bio,"La Boulangère, La Boulangère Bio",268.0,8.1,4.2,6.3,1.1,47.0,3760049790214,"wheat flour*, water, whole wheat flour* 13%, brown cane sugar*, yeast, rapeseed oil*, apple cider vinegar*, wheat bran*, salt, wheat gluten*, flour processing agent (ascorbic acid), possible traces of soy, *ingredients from organic farming,",N/A
Seed Sensations,Hovis,278.0,10.0,6.6,3.8,0.3828,42.0,5010003064744,"Wheat Flour (Calcium, Iron, Niacin, Thiamin), Water, Seed Mix 13% (Toasted Brown Linseed, Toasted Sunflower Seeds, Pumpkin Seeds, Sunflower Seeds, Millet Seeds, Golden Linseed, Poppy Seeds), Yeast, Wheat  Protein, Salt, Soya Flour, Malted Barley Flour, Granulated Sugar, Barley Flour, Preservative (E282), Caramelised Sugar, Barley Fibre, Emulsifier (E472e), Flour Treatment Agent (Ascorbic Acid).",N/A
Bakery Co. 5 The Original Bagels,New York Bakery Co,286.0,9.75,2.62,5.5,1.52,52.5,5020364010113,"WHEAT Flour (with added Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Yeast, Vinegar, Salt, Rapeseed Oil, Preservative (Calcium Propionate), Maize, Sweet potato puree, Malted BARLEY Flour, Flour Treatment Agent (Ascorbic Acid)",N/A
Rye & Mixed Seed Sourdough Bread,Tesco,262.0,8.6,4.4,2.4,0.765,44.0,5057967395088,"Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Wholemeal Wheat Flour, Malted Wheat Flakes, Rye Flour, Millet Seed (2%), Golden Linseed (2%), Sunflower Seed (2%), Rapeseed Oil, Fermented Wheat Flour, Salt, Poppy Seeds (0.6%), Molasses, Malted Wheat Flour, Flour Treatment Agent (Ascorbic Acid), Rice Flour.",N/A
Seeded Sourdough Bread,Specially Selected,265.0,9.5,4.9,0.25,0.825,43.0,4088600246291,"𝐖𝐡𝐞𝐚𝐭 𝐅𝐥𝐨𝐮𝐫  ( 𝐖𝐡𝐞𝐚𝐭 𝐅𝐥𝐨𝐮𝐫 , calcium carbonate, iron, niacin, thiamin,  𝐖𝐡𝐞𝐚𝐭 𝐆𝐥𝐮𝐭𝐞𝐧 ), water, mixed seeds (10%) (brown linseed, millet seeds, golden linseed, sunflower seeds, poppy seeds, pumpkin seeds),  𝐑𝐲𝐞 𝐅𝐥𝐨𝐮𝐫 ,  malted wheat , salt,  𝐖𝐡𝐞𝐚𝐭 bran ,  malted barley 𝐅𝐥𝐨𝐮𝐫 ,",N/A
Chips,Kettle,494.0,7.7,25.4,0.1,,56.7,5017764128104,"select potatoes, sunflower oil, sea salt. gluten-free.",N/A
Everyday White Rolls,Jason's,245.0,10.0,0.75,3.38,0.762,48.9,5025125000150,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Rye Flour, Yeast, Fermented Wheat Flour, Salt, Flour Treatment Agent: Ascorbic Acid.",N/A
Quaker Rolled Oats,Quaker,374.0,11.0,8.0,1.1,0.0,60.0,5000108022152,100% rolled oats,N/A
Tartines craquantes quinoa - pois chiche,Jardin Bio,378.0,9.6,1.6,0.6,0.5,79.0,06153153,"Farine de riz*, farine de châtaigne* 25%, sel marin. *Produits issus de l'agriculture biologique",N/A
Spaghetti N.5,"BARILLA NORGE ASbarilla, Barilla, BARILLA NORGE AS",359.0,13.0,2.0,3.5,0.01,71.0,8076800195057,"Krupica durum pšenice, voda. Može sadržati zrna soje u tragovima. Može sadržavati jaja u tragovima ako je proizvedeno u tvornici.",N/A
"Muesli SuperFruits Raisins, cassis,cranberry, myrtille",Bjorg,358.0,11.0,6.0,13.0,0.04,60.0,3229820782560,"Flocons d'avoine* complète, Raisins secs* 16% (raisins secs*, huile de tournesol*), Flocons de blé* complet, Flocons d'épeautre complet* (blé), Flocons de blé, Amandes entières*, Cassis lyophilisés* 1%, Cranberries lyophilisées* 0,6%, Myrtilles lyophilisées* 0,5%. Peut contenir des traces de lait, d'autres fruits à coque, de graines de sésame, de soja. *Ingrédients biologiques.",N/A
Oat,Alpro,46.0,0.8,1.5,3.3,0.0775,6.6,5411188115366,"oat  base (96,6%) (water,  oat  (9,8%)), soluble corn fibre, sunflower oil, calcium (tri-calcium phosphate), sea salt, stabiliser (gellan gum), vitamins b2, b12, d2,",N/A
Dark Rye Sourdough,Specially Selected,234.0,7.9,1.3,1.5,0.7975,45.1,4088600327587,"wheat flour (wheat flour, calcium carbonate, iron, niacin, thiamin), rye flour, water, wheat gluten, molasses, salt, malted barley flour,",N/A
Corn Flakes,Kellogg's,378.0,7.0,0.9,8.0,1.1,84.0,3159470000120,"corn, sugar, aroma of malt of barley, salt, vitamins and minerals : vitamin b3/pp, vitamin b6, vitamin b2, vitamin b1, vitamin b9, vitamin d, vitamin b12, iron,",N/A
